Country Code,Name,Year,Labour_Force,Fertility_Rate,Continent
BHS,"Bahamas, The",2020,63.23199844,1.733,North America
BIH,Bosnia and Herzegovina,1990,33.84700012,1.772,Europe
BIH,Bosnia and Herzegovina,1995,34.02299881,1.706,Europe
BIH,Bosnia and Herzegovina,2000,32.31800079,1.497,Europe
BIH,Bosnia and Herzegovina,2005,30.85899925,1.288,Europe
BIH,Bosnia and Herzegovina,2010,32.99900055,1.315,Europe
BIH,Bosnia and Herzegovina,2015,33.45899963,1.296,Europe
BIH,Bosnia and Herzegovina,2020,32.66600037,1.243,Europe
BLR,Belarus,1990,52.02999878,1.913,Europe
BLR,Belarus,1995,54.60800171,1.406,Europe
BLR,Belarus,2000,53.21099854,1.317,Europe
BLR,Belarus,2005,54.96500015,1.252,Europe
BLR,Belarus,2010,56.71300125,1.494,Europe
BLR,Belarus,2015,58.42900085,1.724,Europe
BLR,Belarus,2020,57.72800064,1.382,Europe
BLZ,Belize,1990,32.53099823,4.508,North America
BLZ,Belize,1995,35.67300034,4.109,North America
BLZ,Belize,2000,39.80500031,3.601,North America
BLZ,Belize,2005,42.36700058,3.077,North America
BLZ,Belize,2010,45.00299835,2.69,North America
BLZ,Belize,2015,48.36199951,2.439,North America
BLZ,Belize,2020,45.85900116,2.246,North America
BOL,Bolivia,1990,56.83800125,4.89,South America
BOL,Bolivia,1995,58.59400177,4.466,South America
BOL,Bolivia,2000,59.15000153,4.051,South America
BOL,Bolivia,2005,62.72000122,3.621,South America
BOL,Bolivia,2010,62.25999832,3.213,South America
BOL,Bolivia,2015,54.63800049,2.886,South America
BOL,Bolivia,2020,54.71900177,2.651,South America
BRA,Brazil,1990,41.38399887,2.902,South America
BRA,Brazil,1995,46.45800018,2.588,South America
BRA,Brazil,2000,49.47900009,2.3,South America
BRA,Brazil,2005,54.61800003,1.976,South America
BRA,Brazil,2010,52.93099976,1.796,South America
BRA,Brazil,2015,51.74300003,1.753,South America
BRA,Brazil,2020,47.70999908,1.706,South America
BRB,Barbados,1990,60.04299927,1.74,North America
BRB,Barbados,1995,62.62900162,1.727,North America
BRB,Barbados,2000,62.68199921,1.775,North America
BRB,Barbados,2005,64.47899628,1.788,North America
BRB,Barbados,2010,61.92200089,1.687,North America
BRB,Barbados,2015,60.81999969,1.614,North America
BRB,Barbados,2020,55.56200027,1.628,North America
BRN,Brunei Darussalam,1990,46.13299942,3.29,Asia
BRN,Brunei Darussalam,1995,50.40000153,2.785,Asia
